ValdezD_18R_Governor,WhiteD_18R_Governor,X18R_Governor_abstain,BCVAP_2018,HCVAP_2018,WCVAP_2018,OCVAP_2018,X18R_Governor_CVAP
8,6,2385,612,228,1512,47,0
7,4,2758,143,295,2328,3,0
4,3,1280,129,215,937,6,0
6,2,1547,25,179,1350,1,0
1,0,366,0,89,278,0,0
13,8,1182,443,175,531,54,0
11,7,1647,475,168,984,38,0
3,1,682,245,122,295,24,0
14,13,1691,245,200,1270,3,0
5,4,5975,2122,1061,2687,114,0
10,8,8298,3466,1489,3280,81,0
7,6,1953,396,348,1183,39,0
5,5,875,52,4,800,29,0
2,2,876,74,68,719,19,0
6,6,1042,136,86,802,30,0
6,6,2372,154,133,2020,77,0
13,9,2793,563,158,2083,11,0
5,5,1171,243,204,705,29,0
17,9,2116,359,225,1508,50,0
5,4,970,157,41,750,31,0
7,6,1291,76,43,1157,28,0
0,0,775,71,28,654,22,0
4,0,2654,77,1319,1261,1,0
3,2,2905,12,1074,1765,59,0
2,0,2792,92,1247,1429,26,0
2,0,2306,47,1190,1026,45,0
1,0,807,189,165,451,3,0
32,18,3639,1622,905,1063,99,0
2,5,2243,175,318,1733,24,0
3,5,1140,261,133,742,12,0
11,13,2255,573,298,1400,8,0
0,0,818,92,16,703,7,0
0,4,1055,28,72,932,27,0
2,4,1264,133,76,1049,12,0
3,3,727,2,46,672,13,0
0,5,324,66,28,184,51,0
5,14,895,172,178,557,7,0
0,1,162,61,36,65,1,0
1,5,2287,41,73,2149,30,0
0,0,1064,55,120,877,12,0
11,4,658,164,76,374,59,0
8,7,1897,372,51,1418,71,0
3,0,769,29,163,564,16,0
4,7,3326,711,1028,1547,51,0
1,7,1672,28,75,1541,36,0
3,4,724,86,97,525,23,0
4,18,1590,303,156,1035,118,0
26,30,3664,1824,1012,853,31,0
9,4,1995,522,179,1245,62,0
1,3,648,30,75,545,2,0
3,3,635,1,91,546,3,0
4,5,3177,351,292,2510,33,0
2,4,2756,137,444,2166,15,0
1,7,1804,37,71,1704,0,0
0,0,392,7,71,308,6,0
0,4,1170,42,173,940,19,0
3,4,1725,166,125,1435,6,0
0,0,1114,51,10,1033,20,0
3,1,562,11,103,444,8,0
0,3,408,0,0,411,0,0
1,2,905,16,18,863,11,0
9,12,2618,235,286,2018,100,0
6,10,2060,64,162,1844,6,0
0,0,4,0,1,3,0,0
2,3,542,25,53,463,6,0
0,0,407,17,60,323,7,0
1,1,755,115,56,582,4,0
7,6,1232,439,91,594,121,0
1,15,1388,119,52,1194,39,0
1,1,446,10,10,413,15,0
8,21,2720,0,676,2019,54,0
11,29,4623,38,1739,2839,47,0
30,46,5135,111,710,4127,263,0
27,38,3298,20,436,2760,147,0
9,8,1675,4,308,1341,39,0
6,8,1455,4,150,1315,0,0
1,1,1354,0,50,1290,16,0
3,2,1020,2,15,978,30,0
0,0,379,0,41,325,13,0
2,2,641,7,56,565,17,0
0,0,161,5,10,146,0,0
2,1,1310,21,139,1149,4,0
0,0,246,0,9,227,10,0
0,0,353,1,3,337,12,0
0,2,197,1,7,183,8,0
1,1,908,0,29,860,21,0
0,0,136,0,1,131,4,0
0,0,389,1,25,348,15,0
0,1,241,2,23,217,0,0
0,0,111,0,8,102,1,0
0,0,306,0,20,270,16,0
0,0,80,1,8,71,0,0
0,0,189,0,11,169,9,0
0,0,166,0,8,158,0,0
0,0,27,0,2,25,0,0
6,5,884,0,324,551,20,0
8,5,1867,0,1346,494,40,0
6,3,1839,1,961,852,34,0
3,0,167,0,51,119,0,0
19,4,2394,13,1412,992,0,0
1,0,96,0,29,68,0,0
8,6,2189,15,1535,565,88,0
5,3,603,7,403,201,0,0
1,0,83,0,27,56,1,0
10,6,1702,5,1222,455,36,0
0,0,59,0,18,41,0,0
6,3,1777,0,1096,659,31,0
21,10,2643,6,1451,1205,12,0
2,2,413,0,125,292,0,0
8,4,2293,7,1345,917,36,0
2,1,295,0,180,118,0,0
6,4,2934,0,2510,414,20,0
12,2,1866,20,1222,608,30,0
3,2,410,1,220,190,4,0
33,20,4757,49,1989,2682,90,0
6,2,204,0,64,148,0,0
4,3,668,3,294,357,21,0
8,6,994,0,717,282,9,0
14,6,2059,0,1334,688,57,0
3,8,1281,121,210,912,49,0
